고위험학교명,고위험_시도교육청,고위험_지역,고위험_학생수,고위험_위기확률,고위험_위도,고위험_경도,고위험_운영비,고위험_1인당운영비,고위험_일반직수,고위험_시군구,후보순위,후보학교명,후보_위도,후보_경도,후보_시군구,직선거리_km,도로거리_km,소요시간_분,초등_운영비,중학교_운영비,운영비_합산,초등_일반직수,중학교_일반직수,일반직_합산,같은시군구,거리점수,운영비점수,일반직점수,시군구점수,종합점수
남포초등학교,경상남도교육청,경상남도 통영시,14,0.72131735,34.82440195,128.4324231,734907490.0,52493392.0,3.0,통영시,2,통영여자중학교,34.84135128,128.4097587,통영시,2.798,3.846,5.2,734907490.0,2410418700.0,3145326190.0,3.0,2.0,5.0,True,0.0,1.0,1.0,1.0,0.6
대사초등학교,부산광역시교육청,부산광역시 강서구,13,0.73903894,35.22041811,128.9385487,513301270.0,39484713.0,3.0,강서구,1,활천중학교,35.23568579,128.9239733,김해시,2.153,3.122,4.7,513301270.0,1477394360.0,1990695630.0,3.0,2.0,5.0,False,0.1233,1.0,1.0,0.0,0.5493
대사초등학교,부산광역시교육청,부산광역시 강서구,13,0.73903894,35.22041811,128.9385487,513301270.0,39484713.0,3.0,강서구,2,낙동중학교,35.21643385,128.9662764,강서구,2.557,3.561,5.9,513301270.0,264744050.0,778045320.0,3.0,1.0,4.0,True,0.0,0.3908,0.8,1.0,0.3977
대저초등학교,부산광역시교육청,부산광역시 강서구,31,0.67875785,35.21610222,128.9553077,534461000.0,17240677.0,4.0,강서구,1,낙동중학교,35.21643385,128.9662764,강서구,0.997,1.444,3.4,534461000.0,264744050.0,799205050.0,4.0,1.0,5.0,True,0.0,1.0,1.0,1.0,0.6
동광초등학교,경상남도교육청,경상남도 고성군,11,0.65082747,35.00877915,128.4005598,3653093120.0,332099375.0,7.0,고성군,1,고성동중학교,34.98773566,128.4012968,고성군,2.341,2.917,3.6,3653093120.0,827985390.0,4481078510.0,7.0,3.0,10.0,True,0.0,1.0,1.0,1.0,0.6
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,1,모담중학교,37.65623241,126.6747635,김포시,0.005,0.004,0.0,,,,3.0,2.0,5.0,True,0.9983,0.0,0.7143,1.0,0.6779
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,2,푸른솔중학교,37.65243694,126.6671637,김포시,0.787,1.099,1.9,,2717318020.0,,3.0,3.0,6.0,True,0.5447,0.0,0.8571,1.0,0.5322
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,3,하늘빛중학교,37.65495148,126.6878279,김포시,1.164,1.417,3.1,,3372577270.0,,3.0,3.0,6.0,True,0.413,0.0,0.8571,1.0,0.4795
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,4,장기중학교,37.64781054,126.6648355,김포시,1.278,1.669,3.5,,2940363150.0,,3.0,2.0,5.0,True,0.3086,0.0,0.7143,1.0,0.402
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,5,운양중학교,37.64497586,126.6764461,김포시,1.261,2.176,3.2,,2688700110.0,,3.0,4.0,7.0,True,0.0986,0.0,1.0,1.0,0.3894
모담초등학교,경기도교육청,경기도 김포시,47,0.6999153,37.65623241,126.6747061,,,3.0,김포시,6,고창중학교,37.64183725,126.6703971,김포시,1.645,2.414,4.7,,1695297970.0,,3.0,4.0,7.0,True,0.0,0.0,1.0,1.0,0.35
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,1,반곡중학교,37.33642707,127.9730108,원주시,0.102,0.102,0.2,960916970.0,1928585980.0,2889502950.0,2.0,4.0,6.0,False,0.9738,0.8389,0.8571,0.0,0.8135
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,2,원주중학교,37.33758424,127.9591067,원주시,1.232,2.376,5.0,960916970.0,2483431730.0,3444348700.0,2.0,4.0,6.0,False,0.3887,1.0,0.8571,0.0,0.6198
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,3,버들중학교,37.33091186,127.989128,원주시,1.592,2.175,4.3,960916970.0,2159439770.0,3120356740.0,2.0,4.0,6.0,False,0.4404,0.9059,0.8571,0.0,0.6169
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,4,단구중학교,37.32082488,127.9568666,원주시,2.327,3.628,5.8,960916970.0,2012691950.0,2973608920.0,2.0,5.0,7.0,False,0.0666,0.8633,1.0,0.0,0.4925
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,5,원주여자중학교,37.33941484,127.9460541,원주시,2.396,3.634,6.2,960916970.0,1956651550.0,2917568520.0,2.0,5.0,7.0,False,0.0651,0.8471,1.0,0.0,0.4878
